units,name_plt,lat,lon,value,date,year,month,my_date,mean,size
MMBtu,Elrama Power Plant,40.251829,-79.918022,1866252.73,2005-06-01,2005,6,2005.4166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,954765.49,2005-05-01,2005,5,2005.3333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,536587.31,2005-04-01,2005,4,2005.25,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,738101.05,2005-03-01,2005,3,2005.1666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,399118.06,2005-02-01,2005,2,2005.0833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,719097.08,2005-01-01,2005,1,2005,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1419650,2004-12-01,2004,12,2004.9166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1586442,2004-11-01,2004,11,2004.8333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1644356,2004-10-01,2004,10,2004.75,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,875072,2004-09-01,2004,9,2004.6666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,935333,2004-08-01,2004,8,2004.5833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1698893,2004-07-01,2004,7,2004.5,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1628615,2004-06-01,2004,6,2004.4166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2360216,2004-05-01,2004,5,2004.3333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2473957,2004-04-01,2004,4,2004.25,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2893760,2004-03-01,2004,3,2004.1666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2162121,2004-02-01,2004,2,2004.0833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2234508,2004-01-01,2004,1,2004,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2758402,2003-12-01,2003,12,2003.9166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2054879,2003-11-01,2003,11,2003.8333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,840083,2003-10-01,2003,10,2003.75,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2008129,2003-09-01,2003,9,2003.6666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2139874,2003-08-01,2003,8,2003.5833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1986400,2003-07-01,2003,7,2003.5,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1249278,2003-06-01,2003,6,2003.4166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1133364,2003-05-01,2003,5,2003.3333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1998728,2003-04-01,2003,4,2003.25,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1892873,2003-03-01,2003,3,2003.1666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1937640,2003-02-01,2003,2,2003.0833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2491698,2003-01-01,2003,1,2003,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2142179,2002-12-01,2002,12,2002.9166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1933930,2002-11-01,2002,11,2002.8333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1971889,2002-10-01,2002,10,2002.75,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2278352,2002-09-01,2002,9,2002.6666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2529823,2002-08-01,2002,8,2002.5833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1948459,2002-07-01,2002,7,2002.5,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2129876,2002-06-01,2002,6,2002.4166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1909530,2002-05-01,2002,5,2002.3333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2555715,2002-04-01,2002,4,2002.25,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2939234,2002-03-01,2002,3,2002.1666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1819778,2002-02-01,2002,2,2002.0833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2224071,2002-01-01,2002,1,2002,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2107700,2001-12-01,2001,12,2001.9166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,759625,2001-11-01,2001,11,2001.8333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2272000,2001-10-01,2001,10,2001.75,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2381725,2001-09-01,2001,9,2001.6666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,3135775,2001-08-01,2001,8,2001.5833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2554800,2001-07-01,2001,7,2001.5,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2455925,2001-06-01,2001,6,2001.4166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2023500,2001-05-01,2001,5,2001.3333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2257350,2001-04-01,2001,4,2001.25,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2211400,2001-03-01,2001,3,2001.1666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2010625,2001-02-01,2001,2,2001.0833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2010625,2001-01-01,2001,1,2001,1241705.47044586,md
MMBtu,Portland,40.910205,-75.079398,445,2019-12-01,2019,12,2019.9166666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,2740,2019-11-01,2019,11,2019.8333333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,3110,2019-10-01,2019,10,2019.75,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,1497,2019-09-01,2019,9,2019.6666666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,2410,2019-08-01,2019,8,2019.5833333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,971,2019-07-01,2019,7,2019.5,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,2873,2019-06-01,2019,6,2019.4166666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,1387,2019-05-01,2019,5,2019.3333333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,480,2019-04-01,2019,4,2019.25,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,896,2019-03-01,2019,3,2019.1666666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,1451,2019-02-01,2019,2,2019.0833333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,1584,2019-01-01,2019,1,2019,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,109624,2018-12-01,2018,12,2018.9166666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,86388,2018-11-01,2018,11,2018.8333333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,53547,2018-10-01,2018,10,2018.75,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,38295,2018-09-01,2018,9,2018.6666666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,75059,2018-08-01,2018,8,2018.5833333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,47362,2018-07-01,2018,7,2018.5,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,120476,2018-06-01,2018,6,2018.4166666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,73461,2018-05-01,2018,5,2018.3333333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,73353,2018-04-01,2018,4,2018.25,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,65182,2018-03-01,2018,3,2018.1666666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,84579,2018-02-01,2018,2,2018.0833333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,211860,2018-01-01,2018,1,2018,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,2778,2017-12-01,2017,12,2017.9166666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,2829,2017-11-01,2017,11,2017.8333333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,1548,2017-10-01,2017,10,2017.75,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,2132,2017-09-01,2017,9,2017.6666666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,2937,2017-08-01,2017,8,2017.5833333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,2183,2017-07-01,2017,7,2017.5,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,2614,2017-06-01,2017,6,2017.4166666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,2455,2017-05-01,2017,5,2017.3333333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,1525,2017-04-01,2017,4,2017.25,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,2268,2017-03-01,2017,3,2017.1666666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,1735,2017-02-01,2017,2,2017.0833333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,2217,2017-01-01,2017,1,2017,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,164,2016-12-01,2016,12,2016.9166666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,14154,2016-11-01,2016,11,2016.8333333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,14154,2016-10-01,2016,10,2016.75,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,14154,2016-09-01,2016,9,2016.6666666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,15702,2016-08-01,2016,8,2016.5833333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,2603,2016-07-01,2016,7,2016.5,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,2603,2016-06-01,2016,6,2016.4166666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,1494,2016-05-01,2016,5,2016.3333333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,168,2016-04-01,2016,4,2016.25,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,168,2016-03-01,2016,3,2016.1666666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,46,2016-02-01,2016,2,2016.0833333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,3843,2016-01-01,2016,1,2016,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,3843,2015-12-01,2015,12,2015.9166666666667,994784.3627192982,md
